x0,x1,x2,x3,uMs_cmd,uTs_cmd,iMs_cmd,iMs,iTs_cmd,iTs
-1.27521e-007,0.00173819,-0.0832201,-0.000104085,1.46646e-006,-0.0226655,0,-9.68858e-008,0,0.00149238
-6.74919e-007,0.00431088,-0.166091,-0.000415802,9.18912e-006,-0.0624145,0,-6.01154e-007,0,0.00405204
0.000441906,4.75008,0.115103,-0.000618325,-0.00268628,12.2503,0,0.000184761,5.34856,4.59922
0.00355477,5.21291,0.670751,0.000353076,-0.049276,3.3342,0,0.00323421,5.34856,5.20294
0.00606428,4.84115,1.21966,0.00272843,-0.0903976,1.62032,0,0.00582709,4.89172,4.85853
0.00846346,4.77725,1.73997,0.00642961,-0.129705,2.84287,0,0.00822434,4.89172,4.77981
0.00968287,4.32097,2.23114,0.0114087,-0.15406,1.27448,0,0.00956222,4.35742,4.34768
0.0112135,4.22966,2.68277,0.0175534,-0.181222,3.04335,0,0.0110498,4.35742,4.23267
0.0116182,3.85275,3.11218,0.0248093,-0.194784,1.30656,0,0.0115914,3.8923,3.8825
0.0124956,3.75353,3.5035,0.0330813,-0.212321,3.24351,0,0.0123867,3.8923,3.75655
0.0124332,3.45219,3.87855,0.0423179,-0.219803,1.30232,0,0.0124876,3.4909,3.48512
0.0128011,3.34439,4.21811,0.0524414,-0.229341,3.41709,0,0.0127323,3.4909,3.34747
0.0125178,3.11091,4.54564,0.0634022,-0.234129,1.24495,0,0.0126462,3.14434,3.14745
0.0124741,2.99291,4.84086,0.0751382,-0.236763,3.56588,0,0.0124348,3.14434,2.99611
0.0121475,2.82089,5.12681,0.0876014,-0.241336,1.13331,0,0.0123458,2.84486,2.86155
0.0117569,2.6909,5.38405,0.100743,-0.237788,3.69238,0,0.0117396,2.84486,2.69428
0.0115158,2.57529,5.63358,0.114517,-0.243858,0.965935,0,0.0117738,2.58584,2.62064
0.0108187,2.43135,5.85831,0.128885,-0.234692,3.79876,0,0.0108182,2.58584,2.43499
0.0107489,2.36831,6.07588,0.143804,-0.241872,0.740322,0,0.010957,2.36159,2.419
0.00977587,2.20827,6.27284,0.159244,-0.229081,3.88684,0,0.00978863,2.36159,2.21223
0.00983778,2.1951,6.46232,0.175163,-0.234216,4.21346,0,0.00982507,2.36159,2.1955
0.0087068,2.01654,6.63558,0.19154,-0.222077,3.95805,0,0.00873054,2.16723,2.02088
0.00869727,2.00266,6.80059,0.208335,-0.225544,4.30063,0,0.00869032,2.16723,2.00302
0.00766281,1.85175,6.95338,0.225532,-0.214449,4.01355,0,0.00769621,1.99859,1.85656
0.00759936,1.83684,7.09734,0.243096,-0.216518,4.37752,0,0.00759629,1.99859,1.83718
0.00667613,1.71017,7.23219,0.261012,-0.206719,4.05417,0,0.00671856,1.85209,1.71552
0.00656992,1.69388,7.358,0.27925,-0.207577,4.44528,0,0.00656946,1.85209,1.69422
0.0057656,1.58858,7.47714,0.297797,-0.199229,4.08046,0,0.00581702,1.72465,1.59458
0.00562314,1.57056,7.58732,0.316628,-0.198998,4.50494,0,0.00562442,1.72465,1.5709
